DateTime,Sensor_id,Vendor,SensorModel,LAT,LONG,Zone,Pm1_0,Pm2_5,Pm10,SO2,O3,CO,NO2,AlertTriggered,SensorStatus
2021-05-16T01:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:40:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T01:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:01:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:04:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:07:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:10:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:13:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:16:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:19:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:22:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:25:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:28:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:31:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,10,9,12,0,0,0,0,None,Normal
2021-05-16T02:34:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:37:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:40:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:43:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:46:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:49:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:52:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:55:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T02:58:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
2021-05-16T03:01:26,64d7e4dbde37ccb5,ATT,AQM-01-00-01-00-01-00-GY,29.4159,-98.482952,Downtown,9,9,10,0,0,0,0,None,Normal
